Time,System Production (Wh)
12/01/2019,"49291"
12/02/2019,"30933"
12/03/2019,"28413"
12/04/2019,"29177"
12/05/2019,"42361"
12/06/2019,"32085"
12/07/2019,"20773"
12/08/2019,"5455"
12/09/2019,"40403"
12/10/2019,"47796"
12/11/2019,"43062"
12/12/2019,"41686"
12/13/2019,"46447"
12/14/2019,"37457"
12/15/2019,"48296"
12/16/2019,"49924"
12/17/2019,"50763"
12/18/2019,"45741"
12/19/2019,"47744"
12/20/2019,"48855"
12/21/2019,"43555"
12/22/2019,"26455"
12/23/2019,"8291"
12/24/2019,"6811"
12/25/2019,"24307"
12/26/2019,"17295"
12/27/2019,"8487"
12/28/2019,"46300"
12/29/2019,"48486"
12/30/2019,"14922"
12/31/2019,"17255"
